fips,county_name,state_name,total_votes,votes_gop,votes_dem,per_gop,per_dem,margin_gop,pop_total,median_age,pct_white,pct_black,pct_asian,pct_hispanic,pct_65plus,unemployment_pct,pct_agriculture,pct_construction,pct_manufacturing,pct_wholesale,pct_retail,pct_transport,median_hh_income,poverty_pct,pct_hs_plus,pct_bachelors_plus,pct_foreign_born,gini_index,log_pop
01001,Autauga County,Alabama,28190,20484,7439,0.7266406527137282,0.2638879035118836,0.4627527492018446,59285,39.2,73.57,19.95,1.04,3.69,15.98,1.4,1.0,7.2,11.7,2.9,12.2,5.7,69841.0,8.1,90.3,28.3,2.6,0.4515,4.7729448242026775
01003,Baldwin County,Alabama,121808,95798,24934,0.7864672271115197,0.204699198738999,0.5817680283725207,239945,43.7,82.82,7.98,0.95,5.58,21.39,1.9,1.7,8.2,9.8,2.0,14.6,4.9,75019.0,7.3,91.7,32.8,3.8,0.4589,5.380111704487094
01005,Barbour County,Alabama,9832,5606,4158,0.5701790073230268,0.4229048006509357,0.14727420667209112,24757,40.7,43.99,46.92,0.55,6.02,19.72,2.6,4.2,5.3,22.7,0.6,10.0,6.8,44290.0,17.7,77.8,11.5,3.1,0.5061,4.393698016665414
01007,Bibb County,Alabama,9241,7572,1619,0.8193918407098799,0.1751974894491938,0.6441943512606861,22152,41.3,75.09,20.71,0.23,3.36,16.96,5.1,2.7,10.2,16.3,2.9,13.5,5.7,51215.0,16.0,80.3,11.5,1.3,0.4526,4.345412942737518
01009,Blount County,Alabama,28115,25354,2576,0.9017961942023832,0.0916236884225502,0.810172505779833,59292,40.9,89.49,1.26,0.09,10.06,18.58,3.3,2.2,9.3,16.4,3.3,13.2,7.7,61096.0,10.3,82.7,15.6,4.7,0.4461,4.772996099937042
01011,Bullock County,Alabama,4106,1101,2983,0.2681441792498782,0.7264978080857282,-0.45835362883584996,10157,40.4,22.91,71.22,0.46,5.68,17.89,2.7,2.5,3.9,36.0,1.8,10.6,3.9,36723.0,19.5,74.0,9.0,2.7,0.4981,4.006765452451993
01013,Butler County,Alabama,8467,5172,3251,0.6108420928309909,0.3839612613676627,0.22688083146332821,18807,42.2,51.16,44.72,1.32,1.6,21.41,3.6,3.3,4.5,20.3,2.1,11.8,5.5,44881.0,18.5,87.6,13.8,1.5,0.4969,4.274319524558622
01015,Calhoun County,Alabama,48530,34912,13194,0.7193900679991758,0.2718730682052339,0.44751699979394194,116141,39.0,71.0,21.97,0.8,4.43,18.03,3.6,0.9,4.7,19.3,2.3,12.4,4.8,55826.0,12.5,86.1,20.5,2.3,0.4586,5.064985561086079
01017,Chambers County,Alabama,14221,8711,5405,0.6125448280711624,0.3800717249138597,0.23247310315730269,34450,41.5,55.41,39.76,0.58,3.69,19.98,2.7,1.7,5.5,29.9,1.1,8.9,4.5,49295.0,12.3,83.6,14.6,2.9,0.4367,4.537189226243645
01019,Cherokee County,Alabama,12984,11358,1553,0.8747689463955638,0.1196087492298213,0.7551601971657425,25224,47.4,91.25,3.76,0.15,1.73,23.8,1.7,2.0,7.7,18.5,1.3,11.2,7.8,50769.0,12.6,83.9,15.9,2.1,0.4541,4.401813957739848
01021,Chilton County,Alabama,19728,16920,2698,0.8576642335766423,0.1367599351175993,0.720904298459043,45500,39.5,80.91,9.18,0.49,9.87,16.89,3.0,3.1,15.5,13.9,2.7,12.8,5.5,61873.0,10.2,84.2,15.2,5.1,0.4259,4.658011396657113
01023,Choctaw County,Alabama,6646,4103,2515,0.6173638278663858,0.3784231116461029,0.23894071622028284,12525,47.0,56.69,38.18,0.18,1.09,23.81,2.6,3.3,12.9,20.2,1.3,10.3,8.6,44483.0,16.5,84.2,13.9,0.4,0.4554,4.097777734539283
01025,Clarke County,Alabama,11946,6965,4927,0.5830403482337184,0.4124393102293655,0.17060103800435295,22802,42.5,51.53,45.43,0.31,1.14,20.62,6.6,3.9,6.8,16.5,0.3,15.0,10.2,49167.0,13.1,85.3,15.4,1.0,0.5221,4.357972941336858
01027,Clay County,Alabama,6757,5734,993,0.8486014503477874,0.1469587094864584,0.701642740861329,14188,43.8,80.52,12.97,0.33,3.18,20.51,1.7,1.0,12.4,30.3,1.2,7.8,6.7,51852.0,13.4,82.8,15.2,1.1,0.464,4.151921179799905
01029,Cleburne County,Alabama,7637,6988,605,0.9150189865130288,0.0792195888437868,0.835799397669242,15254,42.3,92.81,3.92,0.1,2.01,20.43,0.8,1.6,12.8,19.1,3.8,9.1,6.2,53319.0,6.8,85.4,18.2,0.9,0.4538,4.183383742052695
01031,Coffee County,Alabama,22270,17495,4601,0.7855859901212393,0.2066008082622362,0.578985181859003,54231,38.8,71.51,16.58,0.94,9.4,17.11,2.3,2.2,4.9,10.0,2.3,11.8,11.4,64672.0,13.9,86.0,21.5,4.4,0.4451,4.734247612742255
01033,Colbert County,Alabama,27086,19714,7137,0.7278298752122868,0.2634940559698737,0.46433581924241313,57648,42.3,78.03,15.79,0.4,3.28,20.12,1.9,1.7,7.6,18.4,2.9,10.1,5.8,56736.0,13.2,87.5,20.3,1.5,0.453,4.760784244778494
01035,Conecuh County,Alabama,6043,3423,2580,0.5664405096806222,0.4269402614595399,0.1395002482210823,11411,46.3,50.21,45.75,0.24,0.89,24.31,3.4,4.3,6.5,23.8,1.3,11.3,8.0,42266.0,17.3,87.5,13.1,1.0,0.4827,4.057323705369284
01037,Coosa County,Alabama,5264,3758,1478,0.7139057750759878,0.2807750759878419,0.43313069908814594,10323,50.3,64.55,29.69,0.0,2.37,24.78,2.4,3.7,7.0,21.7,1.5,12.4,7.0,57063.0,8.0,82.8,14.9,0.2,0.3946,4.013805927340592
01039,Covington County,Alabama,17072,14677,2314,0.859711808809747,0.1355435801312089,0.724168228678538,37647,42.8,83.21,11.73,0.4,1.93,21.91,2.4,5.2,7.4,14.1,2.7,12.4,7.7,50886.0,14.7,86.2,17.2,1.1,0.4934,4.5757303740199555
01041,Crenshaw County,Alabama,6480,5000,1457,0.7716049382716049,0.2248456790123456,0.5467592592592594,13144,42.4,70.6,23.36,1.16,1.8,19.92,2.5,6.4,6.7,23.9,1.5,9.1,8.3,49040.0,9.1,82.6,16.8,2.2,0.5108,4.118727550427005
01043,Cullman County,Alabama,43052,38704,4039,0.8990058533866022,0.0938167797082597,0.8051890736783425,89463,41.1,90.99,1.07,0.56,4.86,18.94,2.4,2.0,9.9,15.4,1.8,12.9,6.9,60916.0,9.9,85.0,19.1,2.4,0.4372,4.951643457458373
01045,Dale County,Alabama,19103,14476,4484,0.7577867350677904,0.2347275297073758,0.5230592053604146,49516,38.0,68.61,21.21,1.32,6.93,17.96,3.3,2.0,6.7,10.2,1.3,14.6,9.9,53955.0,14.9,85.7,19.3,3.4,0.4498,4.694745554265453
01047,Dallas County,Alabama,15528,5190,10236,0.3342349304482225,0.6591962905718701,-0.3249613601236476,37536,40.3,27.19,70.51,0.6,0.91,19.78,5.7,2.6,4.9,20.6,2.0,10.9,4.9,36810.0,24.0,87.1,17.0,1.5,0.5047,4.574447990435435
01049,DeKalb County,Alabama,29583,25633,3758,0.8664773687590847,0.1270324172666734,0.7394449514924113,71946,39.6,81.27,1.28,0.2,16.66,17.38,2.4,2.7,8.1,24.2,1.9,9.3,6.3,51149.0,14.6,78.9,13.9,7.4,0.4417,4.857006653363411
01051,Elmore County,Alabama,41491,31374,9774,0.7561639873707551,0.2355691595767756,0.5205948277939795,88669,38.9,73.29,21.07,0.68,3.29,16.06,2.2,0.6,6.8,11.0,2.7,11.8,4.8,75553.0,9.0,89.6,24.4,2.1,0.4359,4.947771810563183
01053,Escambia County,Alabama,14929,10884,3964,0.7290508406457231,0.2655234777948958,0.4635273628508273,36695,40.5,60.98,30.67,0.29,2.28,18.84,4.5,2.3,7.4,16.8,1.5,15.0,3.8,44447.0,17.1,82.5,12.5,0.9,0.4684,4.5646068920356475
01055,Etowah County,Alabama,46023,35653,10027,0.7746778784520784,0.217869326206462,0.5568085522456163,103208,41.8,77.29,15.05,0.69,4.97,19.49,3.5,1.0,7.3,17.7,2.4,13.6,4.4,53070.0,12.0,85.8,17.5,2.6,0.4765,5.013713362225274
01057,Fayette County,Alabama,8356,7158,1142,0.8566299664911441,0.136668262326472,0.7199617041646721,16173,42.8,84.47,12.26,0.06,1.14,21.61,4.9,1.6,5.6,26.2,1.7,14.3,5.0,50733.0,13.1,85.2,15.6,0.7,0.4646,4.208790586548298
